	CellTypes	Var1	BroadCategory
1	aDC	aDC	DC
2	Adipocytes	Adipocytes	Other1
3	Astrocytes	Astrocytes	Other1
4	B_cell	B_cell	B_cell
5	B_cell_memory	B cell memory	B_cell
6	B_cell_naive	B cell naive	B_cell
7	B_cell_plasma	B cell plasma	B_cell
8	B_cells	B_cells	B_cell
9	B_Cells	B Cells	B_cell
10	B_derived	B derived	B_cell
11	B_Memory	B Memory	B_cell
12	B_Naive	B Naive	B_cell
13	B-cells	B-cells	B_cell
14	B.cells	B.cells	B_cell
15	Basophils	Basophils	Myeloid
16	Basophils_LD	Basophils LD	Myeloid
17	Bcells	Bcells	B_cell
18	CAFs	CAFs	Other1
19	CD4_Memory	CD4_Memory	T_cell_CD4
20	CD4_Naive	CD4_Naive	T_cell_CD4
21	CD4_T_Cells	CD4 T Cells	T_cell_CD4
22	CD4_Tcells	CD4_Tcells	T_cell_CD4
23	CD4+_memory_T-cells	CD4+ memory T-cells	T_cell_CD4
24	CD4+_naive_T-cells	CD4+ naive T-cells	T_cell_CD4
25	CD4+_T-cells	CD4+ T-cells	T_cell_CD4
26	CD4+_Tcm	CD4+ Tcm	T_cell_CD4
27	CD4+_Tem	CD4+ Tem	T_cell_CD4
28	CD8_Eff	CD8_Eff	T_cell_CD8
29	CD8_Memory	CD8_Memory	T_cell_CD8
30	CD8_Naive	CD8_Naive	T_cell_CD8
31	CD8_T_cells	CD8 T cells	T_cell_CD8
32	CD8_T_Cells	CD8 T Cells	T_cell_CD8
33	CD8_Tcells	CD8_Tcells	T_cell_CD8
34	CD8+_naive_T-cells	CD8+ naive T-cells	T_cell_CD8
35	CD8+_T-cells	CD8+ T-cells	T_cell_CD8
36	CD8+_Tcm	CD8+ Tcm	T_cell_CD8
37	CD8+_Tem	CD8+ Tem	T_cell_CD8
38	cDC	cDC	DC
39	Chondrocytes	Chondrocytes	Other1
40	Class-switched_memory_B-cells	Class-switched memory B-cells	B_cell
41	CLP	CLP	Lymphoid
